theta,A2,a,b,z,phi,status
30.0,-18.0,9.4,7.8,-0.6,100.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,110.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,0.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,10.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,20.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,30.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,40.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,50.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,60.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,70.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,80.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,90.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,100.0,NotYet
30.0,-18.0,9.5,7.9,-0.4,110.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,0.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,10.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,20.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,30.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,40.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,50.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,60.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,70.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,80.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,90.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,100.0,NotYet
30.0,-18.0,9.5,8.0,-0.2,110.0,NotYet
30.0,-18.0,9.5,8.1,0.0,0.0,NotYet
30.0,-18.0,9.5,8.1,0.0,10.0,NotYet
30.0,-18.0,9.5,8.1,0.0,20.0,NotYet
30.0,-18.0,9.5,8.1,0.0,30.0,NotYet
30.0,-18.0,9.5,8.1,0.0,40.0,NotYet
30.0,-18.0,9.5,8.1,0.0,50.0,NotYet
30.0,-18.0,9.5,8.1,0.0,60.0,NotYet
30.0,-18.0,9.5,8.1,0.0,70.0,NotYet
30.0,-18.0,9.5,8.1,0.0,80.0,NotYet
30.0,-18.0,9.5,8.1,0.0,90.0,NotYet
30.0,-18.0,9.5,8.1,0.0,100.0,NotYet
30.0,-18.0,9.5,8.1,0.0,110.0,NotYet
30.0,-18.0,9.5,8.2,0.2,0.0,NotYet
30.0,-18.0,9.5,8.2,0.2,10.0,NotYet
30.0,-18.0,9.5,8.2,0.2,20.0,NotYet
30.0,-18.0,9.5,8.2,0.2,30.0,NotYet
30.0,-18.0,9.5,8.2,0.2,40.0,NotYet
30.0,-18.0,9.5,8.2,0.2,50.0,NotYet
30.0,-18.0,9.5,8.2,0.2,60.0,NotYet
30.0,-18.0,9.5,8.2,0.2,70.0,NotYet
30.0,-18.0,9.5,8.2,0.2,80.0,NotYet
30.0,-18.0,9.5,8.2,0.2,90.0,NotYet
30.0,-18.0,9.5,8.2,0.2,100.0,NotYet
30.0,-18.0,9.5,8.2,0.2,110.0,NotYet
30.0,-18.0,13.2,6.5,0.4,0.0,NotYet
30.0,-18.0,13.2,6.5,0.4,10.0,NotYet
30.0,-18.0,13.2,6.5,0.4,20.0,NotYet
30.0,-18.0,13.2,6.5,0.4,30.0,NotYet
30.0,-18.0,13.2,6.5,0.4,40.0,NotYet
30.0,-18.0,13.2,6.5,0.4,50.0,NotYet
30.0,-18.0,13.2,6.5,0.4,60.0,NotYet
30.0,-18.0,13.2,6.5,0.4,70.0,NotYet
30.0,-18.0,13.2,6.5,0.4,80.0,NotYet
30.0,-18.0,13.2,6.5,0.4,90.0,NotYet
30.0,-18.0,13.2,6.5,0.4,100.0,NotYet
30.0,-18.0,13.2,6.5,0.4,110.0,NotYet
30.0,-18.0,13.3,6.3,0.6,0.0,NotYet
30.0,-18.0,13.3,6.3,0.6,10.0,NotYet
30.0,-18.0,13.3,6.3,0.6,20.0,NotYet
30.0,-18.0,13.3,6.3,0.6,30.0,NotYet
30.0,-18.0,13.3,6.3,0.6,40.0,NotYet
30.0,-18.0,13.3,6.3,0.6,50.0,NotYet
30.0,-18.0,13.3,6.3,0.6,60.0,NotYet
30.0,-18.0,13.3,6.3,0.6,70.0,NotYet
30.0,-18.0,13.3,6.3,0.6,80.0,NotYet
30.0,-18.0,13.3,6.3,0.6,90.0,NotYet
30.0,-18.0,13.3,6.3,0.6,100.0,NotYet
30.0,-18.0,13.3,6.3,0.6,110.0,NotYet
30.0,-18.0,13.3,6.1,0.8,0.0,NotYet
30.0,-18.0,13.3,6.1,0.8,10.0,NotYet
30.0,-18.0,13.3,6.1,0.8,20.0,NotYet
30.0,-18.0,13.3,6.1,0.8,30.0,NotYet
30.0,-18.0,13.3,6.1,0.8,40.0,NotYet
30.0,-18.0,13.3,6.1,0.8,50.0,NotYet
30.0,-18.0,13.3,6.1,0.8,60.0,NotYet
30.0,-18.0,13.3,6.1,0.8,70.0,NotYet
30.0,-18.0,13.3,6.1,0.8,80.0,NotYet
30.0,-18.0,13.3,6.1,0.8,90.0,NotYet
30.0,-18.0,13.3,6.1,0.8,100.0,NotYet
30.0,-18.0,13.3,6.1,0.8,110.0,NotYet
30.0,-18.0,14.2,5.9,1.0,0.0,NotYet
30.0,-18.0,14.2,5.9,1.0,10.0,NotYet
30.0,-18.0,14.2,5.9,1.0,20.0,NotYet
30.0,-18.0,14.2,5.9,1.0,30.0,NotYet
30.0,-18.0,14.2,5.9,1.0,40.0,NotYet
30.0,-18.0,14.2,5.9,1.0,50.0,NotYet
30.0,-18.0,14.2,5.9,1.0,60.0,NotYet
30.0,-18.0,14.2,5.9,1.0,70.0,NotYet
30.0,-18.0,14.2,5.9,1.0,80.0,NotYet
30.0,-18.0,14.2,5.9,1.0,90.0,NotYet
30.0,-18.0,14.2,5.9,1.0,100.0,NotYet
30.0,-18.0,14.2,5.9,1.0,110.0,NotYet
30.0,-18.0,14.4,6.1,1.2,0.0,NotYet
30.0,-18.0,14.4,6.1,1.2,10.0,NotYet
30.0,-18.0,14.4,6.1,1.2,20.0,NotYet
30.0,-18.0,14.4,6.1,1.2,30.0,NotYet
30.0,-18.0,14.4,6.1,1.2,40.0,NotYet
30.0,-18.0,14.4,6.1,1.2,50.0,NotYet
30.0,-18.0,14.4,6.1,1.2,60.0,NotYet
30.0,-18.0,14.4,6.1,1.2,70.0,NotYet
30.0,-18.0,14.4,6.1,1.2,80.0,NotYet
30.0,-18.0,14.4,6.1,1.2,90.0,NotYet
30.0,-18.0,14.4,6.1,1.2,100.0,NotYet
30.0,-18.0,14.4,6.1,1.2,110.0,NotYet
30.0,-18.0,14.2,6.1,1.4,0.0,NotYet
30.0,-18.0,14.2,6.1,1.4,10.0,NotYet
30.0,-18.0,14.2,6.1,1.4,20.0,NotYet
30.0,-18.0,14.2,6.1,1.4,30.0,NotYet
30.0,-18.0,14.2,6.1,1.4,40.0,NotYet
30.0,-18.0,14.2,6.1,1.4,50.0,NotYet
30.0,-18.0,14.2,6.1,1.4,60.0,NotYet
30.0,-18.0,14.2,6.1,1.4,70.0,NotYet
30.0,-18.0,14.2,6.1,1.4,80.0,NotYet
30.0,-18.0,14.2,6.1,1.4,90.0,NotYet
30.0,-18.0,14.2,6.1,1.4,100.0,NotYet
30.0,-18.0,14.2,6.1,1.4,110.0,NotYet
30.0,-18.0,14.2,6.0,1.6,0.0,NotYet
30.0,-18.0,14.2,6.0,1.6,10.0,NotYet
30.0,-18.0,14.2,6.0,1.6,20.0,NotYet
30.0,-18.0,14.2,6.0,1.6,30.0,NotYet
30.0,-18.0,14.2,6.0,1.6,40.0,NotYet
30.0,-18.0,14.2,6.0,1.6,50.0,NotYet
30.0,-18.0,14.2,6.0,1.6,60.0,NotYet
30.0,-18.0,14.2,6.0,1.6,70.0,NotYet
30.0,-18.0,14.2,6.0,1.6,80.0,NotYet
30.0,-18.0,14.2,6.0,1.6,90.0,NotYet
30.0,-18.0,14.2,6.0,1.6,100.0,NotYet
30.0,-18.0,14.2,6.0,1.6,110.0,NotYet
30.0,-18.0,14.1,6.1,1.8,0.0,NotYet
30.0,-18.0,14.1,6.1,1.8,10.0,NotYet
30.0,-18.0,14.1,6.1,1.8,20.0,NotYet
30.0,-18.0,14.1,6.1,1.8,30.0,NotYet
30.0,-18.0,14.1,6.1,1.8,40.0,NotYet
30.0,-18.0,14.1,6.1,1.8,50.0,NotYet
30.0,-18.0,14.1,6.1,1.8,60.0,NotYet
30.0,-18.0,14.1,6.1,1.8,70.0,NotYet
30.0,-18.0,14.1,6.1,1.8,80.0,NotYet
30.0,-18.0,14.1,6.1,1.8,90.0,NotYet
30.0,-18.0,14.1,6.1,1.8,100.0,NotYet
30.0,-18.0,14.1,6.1,1.8,110.0,NotYet
30.0,-18.0,14.1,6.2,2.0,0.0,NotYet
30.0,-18.0,14.1,6.2,2.0,10.0,NotYet
30.0,-18.0,14.1,6.2,2.0,20.0,NotYet
30.0,-18.0,14.1,6.2,2.0,30.0,NotYet
30.0,-18.0,14.1,6.2,2.0,40.0,NotYet
30.0,-18.0,14.1,6.2,2.0,50.0,NotYet
30.0,-18.0,14.1,6.2,2.0,60.0,NotYet
30.0,-18.0,14.1,6.2,2.0,70.0,NotYet
30.0,-18.0,14.1,6.2,2.0,80.0,NotYet
30.0,-18.0,14.1,6.2,2.0,90.0,NotYet
30.0,-18.0,14.1,6.2,2.0,100.0,NotYet
30.0,-18.0,14.1,6.2,2.0,110.0,NotYet
30.0,-18.0,14.4,6.8,2.2,0.0,NotYet
30.0,-18.0,14.4,6.8,2.2,10.0,NotYet
30.0,-18.0,14.4,6.8,2.2,20.0,NotYet
30.0,-18.0,14.4,6.8,2.2,30.0,NotYet
30.0,-18.0,14.4,6.8,2.2,40.0,NotYet
30.0,-18.0,14.4,6.8,2.2,50.0,NotYet
30.0,-18.0,14.4,6.8,2.2,60.0,NotYet
30.0,-18.0,14.4,6.8,2.2,70.0,NotYet
30.0,-18.0,14.4,6.8,2.2,80.0,NotYet
30.0,-18.0,14.4,6.8,2.2,90.0,NotYet
30.0,-18.0,14.4,6.8,2.2,100.0,NotYet
30.0,-18.0,14.4,6.8,2.2,110.0,NotYet
30.0,-18.0,14.3,6.7,2.4,0.0,NotYet
30.0,-18.0,14.3,6.7,2.4,10.0,NotYet
30.0,-18.0,14.3,6.7,2.4,20.0,NotYet
30.0,-18.0,14.3,6.7,2.4,30.0,NotYet
30.0,-18.0,14.3,6.7,2.4,40.0,NotYet
30.0,-18.0,14.3,6.7,2.4,50.0,NotYet
30.0,-18.0,14.3,6.7,2.4,60.0,NotYet
30.0,-18.0,14.3,6.7,2.4,70.0,NotYet
30.0,-18.0,14.3,6.7,2.4,80.0,NotYet
30.0,-18.0,14.3,6.7,2.4,90.0,NotYet
30.0,-18.0,14.3,6.7,2.4,100.0,NotYet
30.0,-18.0,14.3,6.7,2.4,110.0,NotYet
30.0,-18.0,12.5,5.6,2.6,0.0,NotYet
30.0,-18.0,12.5,5.6,2.6,10.0,NotYet
30.0,-18.0,12.5,5.6,2.6,20.0,NotYet
30.0,-18.0,12.5,5.6,2.6,30.0,NotYet
30.0,-18.0,12.5,5.6,2.6,40.0,NotYet
30.0,-18.0,12.5,5.6,2.6,50.0,NotYet
30.0,-18.0,12.5,5.6,2.6,60.0,NotYet
30.0,-18.0,12.5,5.6,2.6,70.0,NotYet
30.0,-18.0,12.5,5.6,2.6,80.0,NotYet
30.0,-18.0,12.5,5.6,2.6,90.0,NotYet
30.0,-18.0,12.5,5.6,2.6,100.0,NotYet
30.0,-18.0,12.5,5.6,2.6,110.0,NotYet
30.0,-18.0,12.6,5.3,2.8,0.0,NotYet
30.0,-18.0,12.6,5.3,2.8,10.0,NotYet
30.0,-18.0,12.6,5.3,2.8,20.0,NotYet
30.0,-18.0,12.6,5.3,2.8,30.0,NotYet
30.0,-18.0,12.6,5.3,2.8,40.0,NotYet
30.0,-18.0,12.6,5.3,2.8,50.0,NotYet
30.0,-18.0,12.6,5.3,2.8,60.0,NotYet
30.0,-18.0,12.6,5.3,2.8,70.0,NotYet
30.0,-18.0,12.6,5.3,2.8,80.0,NotYet
30.0,-18.0,12.6,5.3,2.8,90.0,NotYet
30.0,-18.0,12.6,5.3,2.8,100.0,NotYet
30.0,-18.0,12.6,5.3,2.8,110.0,NotYet
30.0,-18.0,12.5,5.3,3.0,0.0,NotYet
30.0,-18.0,12.5,5.3,3.0,10.0,NotYet
30.0,-18.0,12.5,5.3,3.0,20.0,NotYet
30.0,-18.0,12.5,5.3,3.0,30.0,NotYet
30.0,-18.0,12.5,5.3,3.0,40.0,NotYet
30.0,-18.0,12.5,5.3,3.0,50.0,NotYet
30.0,-18.0,12.5,5.3,3.0,60.0,NotYet
30.0,-18.0,12.5,5.3,3.0,70.0,NotYet
30.0,-18.0,12.5,5.3,3.0,80.0,NotYet
30.0,-18.0,12.5,5.3,3.0,90.0,NotYet
30.0,-18.0,12.5,5.3,3.0,100.0,NotYet
30.0,-18.0,12.5,5.3,3.0,110.0,NotYet
30.0,-18.0,12.5,5.4,3.2,0.0,NotYet
30.0,-18.0,12.5,5.4,3.2,10.0,NotYet
30.0,-18.0,12.5,5.4,3.2,20.0,NotYet
30.0,-18.0,12.5,5.4,3.2,30.0,NotYet
30.0,-18.0,12.5,5.4,3.2,40.0,NotYet
30.0,-18.0,12.5,5.4,3.2,50.0,NotYet
30.0,-18.0,12.5,5.4,3.2,60.0,NotYet
30.0,-18.0,12.5,5.4,3.2,70.0,NotYet
30.0,-18.0,12.5,5.4,3.2,80.0,NotYet
30.0,-18.0,12.5,5.4,3.2,90.0,NotYet
30.0,-18.0,12.5,5.4,3.2,100.0,NotYet
30.0,-18.0,12.5,5.4,3.2,110.0,NotYet
30.0,-18.0,12.5,5.5,3.4,0.0,NotYet
30.0,-18.0,12.5,5.5,3.4,10.0,NotYet
30.0,-18.0,12.5,5.5,3.4,20.0,NotYet
30.0,-18.0,12.5,5.5,3.4,30.0,NotYet
30.0,-18.0,12.5,5.5,3.4,40.0,NotYet
30.0,-18.0,12.5,5.5,3.4,50.0,NotYet
30.0,-18.0,12.5,5.5,3.4,60.0,NotYet
30.0,-18.0,12.5,5.5,3.4,70.0,NotYet
30.0,-18.0,12.5,5.5,3.4,80.0,NotYet
30.0,-18.0,12.5,5.5,3.4,90.0,NotYet
30.0,-18.0,12.5,5.5,3.4,100.0,NotYet
30.0,-18.0,12.5,5.5,3.4,110.0,NotYet
30.0,-18.0,14.3,5.9,3.6,0.0,NotYet
30.0,-18.0,14.3,5.9,3.6,10.0,NotYet
30.0,-18.0,14.3,5.9,3.6,20.0,NotYet
30.0,-18.0,14.3,5.9,3.6,30.0,NotYet
30.0,-18.0,14.3,5.9,3.6,40.0,NotYet
30.0,-18.0,14.3,5.9,3.6,50.0,NotYet
30.0,-18.0,14.3,5.9,3.6,60.0,NotYet
30.0,-18.0,14.3,5.9,3.6,70.0,NotYet
30.0,-18.0,14.3,5.9,3.6,80.0,NotYet
30.0,-18.0,14.3,5.9,3.6,90.0,NotYet
30.0,-18.0,14.3,5.9,3.6,100.0,NotYet
30.0,-18.0,14.3,5.9,3.6,110.0,NotYet
30.0,-18.0,14.2,5.6,3.8,0.0,NotYet
30.0,-18.0,14.2,5.6,3.8,10.0,NotYet
30.0,-18.0,14.2,5.6,3.8,20.0,NotYet
30.0,-18.0,14.2,5.6,3.8,30.0,NotYet
30.0,-18.0,14.2,5.6,3.8,40.0,NotYet
30.0,-18.0,14.2,5.6,3.8,50.0,NotYet
30.0,-18.0,14.2,5.6,3.8,60.0,NotYet
30.0,-18.0,14.2,5.6,3.8,70.0,NotYet
30.0,-18.0,14.2,5.6,3.8,80.0,NotYet
30.0,-18.0,14.2,5.6,3.8,90.0,NotYet
30.0,-18.0,14.2,5.6,3.8,100.0,NotYet
30.0,-18.0,14.2,5.6,3.8,110.0,NotYet
30.0,-18.0,14.2,5.6,4.0,0.0,NotYet
30.0,-18.0,14.2,5.6,4.0,10.0,NotYet
30.0,-18.0,14.2,5.6,4.0,20.0,NotYet
30.0,-18.0,14.2,5.6,4.0,30.0,NotYet
30.0,-18.0,14.2,5.6,4.0,40.0,NotYet
30.0,-18.0,14.2,5.6,4.0,50.0,NotYet
30.0,-18.0,14.2,5.6,4.0,60.0,NotYet
30.0,-18.0,14.2,5.6,4.0,70.0,NotYet
30.0,-18.0,14.2,5.6,4.0,80.0,NotYet
30.0,-18.0,14.2,5.6,4.0,90.0,NotYet
30.0,-18.0,14.2,5.6,4.0,100.0,NotYet
30.0,-18.0,14.2,5.6,4.0,110.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,0.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,10.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,20.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,30.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,40.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,50.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,60.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,70.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,80.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,90.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,100.0,NotYet
30.0,-16.0,9.6,7.1,-4.0,110.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,0.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,10.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,20.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,30.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,40.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,50.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,60.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,70.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,80.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,90.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,100.0,NotYet
30.0,-16.0,9.7,6.5,-3.8,110.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,0.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,10.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,20.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,30.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,40.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,50.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,60.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,70.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,80.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,90.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,100.0,NotYet
30.0,-16.0,9.0,7.7,-0.8,110.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,0.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,10.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,20.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,30.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,40.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,50.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,60.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,70.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,80.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,90.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,100.0,NotYet
30.0,-16.0,9.1,7.8,-0.6,110.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,0.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,10.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,20.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,30.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,40.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,50.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,60.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,70.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,80.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,90.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,100.0,NotYet
30.0,-16.0,12.7,6.5,-0.4,110.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,0.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,10.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,20.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,30.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,40.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,50.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,60.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,70.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,80.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,90.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,100.0,NotYet
30.0,-16.0,9.1,8.1,-0.2,110.0,NotYet
30.0,-16.0,12.7,6.6,0.0,0.0,NotYet
30.0,-16.0,12.7,6.6,0.0,10.0,NotYet
30.0,-16.0,12.7,6.6,0.0,20.0,NotYet
30.0,-16.0,12.7,6.6,0.0,30.0,NotYet
30.0,-16.0,12.7,6.6,0.0,40.0,NotYet
30.0,-16.0,12.7,6.6,0.0,50.0,NotYet
30.0,-16.0,12.7,6.6,0.0,60.0,NotYet
30.0,-16.0,12.7,6.6,0.0,70.0,NotYet
30.0,-16.0,12.7,6.6,0.0,80.0,NotYet
30.0,-16.0,12.7,6.6,0.0,90.0,NotYet
30.0,-16.0,12.7,6.6,0.0,100.0,NotYet
30.0,-16.0,12.7,6.6,0.0,110.0,NotYet
30.0,-16.0,12.7,6.6,0.2,0.0,NotYet
30.0,-16.0,12.7,6.6,0.2,10.0,NotYet
30.0,-16.0,12.7,6.6,0.2,20.0,NotYet
30.0,-16.0,12.7,6.6,0.2,30.0,NotYet
30.0,-16.0,12.7,6.6,0.2,40.0,NotYet
30.0,-16.0,12.7,6.6,0.2,50.0,NotYet
30.0,-16.0,12.7,6.6,0.2,60.0,NotYet
30.0,-16.0,12.7,6.6,0.2,70.0,NotYet
30.0,-16.0,12.7,6.6,0.2,80.0,NotYet
30.0,-16.0,12.7,6.6,0.2,90.0,NotYet
30.0,-16.0,12.7,6.6,0.2,100.0,NotYet
30.0,-16.0,12.7,6.6,0.2,110.0,NotYet
30.0,-16.0,12.8,6.4,0.4,0.0,NotYet
30.0,-16.0,12.8,6.4,0.4,10.0,NotYet
30.0,-16.0,12.8,6.4,0.4,20.0,NotYet
30.0,-16.0,12.8,6.4,0.4,30.0,NotYet
30.0,-16.0,12.8,6.4,0.4,40.0,NotYet
30.0,-16.0,12.8,6.4,0.4,50.0,NotYet
30.0,-16.0,12.8,6.4,0.4,60.0,NotYet
30.0,-16.0,12.8,6.4,0.4,70.0,NotYet
30.0,-16.0,12.8,6.4,0.4,80.0,NotYet
30.0,-16.0,12.8,6.4,0.4,90.0,NotYet
30.0,-16.0,12.8,6.4,0.4,100.0,NotYet
30.0,-16.0,12.8,6.4,0.4,110.0,NotYet
30.0,-16.0,12.8,6.2,0.6,0.0,NotYet
30.0,-16.0,12.8,6.2,0.6,10.0,NotYet
30.0,-16.0,12.8,6.2,0.6,20.0,NotYet
30.0,-16.0,12.8,6.2,0.6,30.0,NotYet
30.0,-16.0,12.8,6.2,0.6,40.0,NotYet
30.0,-16.0,12.8,6.2,0.6,50.0,NotYet
30.0,-16.0,12.8,6.2,0.6,60.0,NotYet
30.0,-16.0,12.8,6.2,0.6,70.0,NotYet
30.0,-16.0,12.8,6.2,0.6,80.0,NotYet
30.0,-16.0,12.8,6.2,0.6,90.0,NotYet
30.0,-16.0,12.8,6.2,0.6,100.0,NotYet
30.0,-16.0,12.8,6.2,0.6,110.0,NotYet
30.0,-16.0,13.9,5.9,0.8,0.0,NotYet
30.0,-16.0,13.9,5.9,0.8,10.0,NotYet
30.0,-16.0,13.9,5.9,0.8,20.0,NotYet
30.0,-16.0,13.9,5.9,0.8,30.0,NotYet
30.0,-16.0,13.9,5.9,0.8,40.0,NotYet
30.0,-16.0,13.9,5.9,0.8,50.0,NotYet
30.0,-16.0,13.9,5.9,0.8,60.0,NotYet
30.0,-16.0,13.9,5.9,0.8,70.0,NotYet
30.0,-16.0,13.9,5.9,0.8,80.0,NotYet
30.0,-16.0,13.9,5.9,0.8,90.0,NotYet
30.0,-16.0,13.9,5.9,0.8,100.0,NotYet
30.0,-16.0,13.9,5.9,0.8,110.0,NotYet
30.0,-16.0,13.5,6.0,1.0,0.0,NotYet
30.0,-16.0,13.5,6.0,1.0,10.0,NotYet
30.0,-16.0,13.5,6.0,1.0,20.0,NotYet
30.0,-16.0,13.5,6.0,1.0,30.0,NotYet
30.0,-16.0,13.5,6.0,1.0,40.0,NotYet
30.0,-16.0,13.5,6.0,1.0,50.0,NotYet
30.0,-16.0,13.5,6.0,1.0,60.0,NotYet
30.0,-16.0,13.5,6.0,1.0,70.0,NotYet
30.0,-16.0,13.5,6.0,1.0,80.0,NotYet
30.0,-16.0,13.5,6.0,1.0,90.0,NotYet
30.0,-16.0,13.5,6.0,1.0,100.0,NotYet
30.0,-16.0,13.5,6.0,1.0,110.0,NotYet
30.0,-16.0,13.8,6.2,1.2,0.0,NotYet
30.0,-16.0,13.8,6.2,1.2,10.0,NotYet
30.0,-16.0,13.8,6.2,1.2,20.0,NotYet
30.0,-16.0,13.8,6.2,1.2,30.0,NotYet
30.0,-16.0,13.8,6.2,1.2,40.0,NotYet
30.0,-16.0,13.8,6.2,1.2,50.0,NotYet
30.0,-16.0,13.8,6.2,1.2,60.0,NotYet
30.0,-16.0,13.8,6.2,1.2,70.0,NotYet
30.0,-16.0,13.8,6.2,1.2,80.0,NotYet
30.0,-16.0,13.8,6.2,1.2,90.0,NotYet
30.0,-16.0,13.8,6.2,1.2,100.0,NotYet
30.0,-16.0,13.8,6.2,1.2,110.0,NotYet
30.0,-16.0,13.8,6.1,1.4,0.0,NotYet
30.0,-16.0,13.8,6.1,1.4,10.0,NotYet
30.0,-16.0,13.8,6.1,1.4,20.0,NotYet
30.0,-16.0,13.8,6.1,1.4,30.0,NotYet
30.0,-16.0,13.8,6.1,1.4,40.0,NotYet
30.0,-16.0,13.8,6.1,1.4,50.0,NotYet
30.0,-16.0,13.8,6.1,1.4,60.0,NotYet
30.0,-16.0,13.8,6.1,1.4,70.0,NotYet
30.0,-16.0,13.8,6.1,1.4,80.0,NotYet
30.0,-16.0,13.8,6.1,1.4,90.0,NotYet
30.0,-16.0,13.8,6.1,1.4,100.0,NotYet
30.0,-16.0,13.8,6.1,1.4,110.0,NotYet
30.0,-16.0,13.8,6.1,1.6,0.0,NotYet
30.0,-16.0,13.8,6.1,1.6,10.0,NotYet
30.0,-16.0,13.8,6.1,1.6,20.0,NotYet
30.0,-16.0,13.8,6.1,1.6,30.0,NotYet
30.0,-16.0,13.8,6.1,1.6,40.0,NotYet
30.0,-16.0,13.8,6.1,1.6,50.0,NotYet
30.0,-16.0,13.8,6.1,1.6,60.0,NotYet
30.0,-16.0,13.8,6.1,1.6,70.0,NotYet
30.0,-16.0,13.8,6.1,1.6,80.0,NotYet
30.0,-16.0,13.8,6.1,1.6,90.0,NotYet
30.0,-16.0,13.8,6.1,1.6,100.0,NotYet
30.0,-16.0,13.8,6.1,1.6,110.0,NotYet
30.0,-16.0,13.7,6.3,1.8,0.0,NotYet
30.0,-16.0,13.7,6.3,1.8,10.0,NotYet
30.0,-16.0,13.7,6.3,1.8,20.0,NotYet
30.0,-16.0,13.7,6.3,1.8,30.0,NotYet
